PAIS	PIBpc	IDE	APERT	PARO	ID_PIB	SOC_PIB
Belgium	119	102000.925	183.4085426	7.2	1.99	3
Bulgaria	46	2096.764353	113.419331	11.3	0.6	1.9
CzechRepublic	80	2248.93251	145.5687329	6.7	1.56	3.4
Denmark	126	13105.57424	62.0021892	7.6	3.06	2.8
Germany	121	42787.02963	75.11337599	5.9	2.82	1.7
Estonia	67	436.086498	152.5307713	12.5	1.62	1.3
Ireland	129	11506.14579	84.9810916	14.7	1.79	2.4
Greece	79	1091.980638	34.89541398	17.7	0	2.1
Spain	99	32206.04114	46.90436164	21.7	1.39	1.9
France	109	45208.88301	47.25511867	9.6	2.25	2.3
Italy	100	28002.52267	49.18546142	8.4	1.26	2.3
Cyprus	95	1079.572799	42.1747399	7.9	0.5	6.8
Latvia	59	1502.3	104.5751634	16.2	0.6	1.4
Lithuania	66	1443.081752	138.8213253	15.4	0.8	0.8
Luxembourg	272	18365.50403	88.00686322	4.8	1.63	5.0
Hungary	66	11310.75702	155.959426	10.9	1.16	1.2
Malta	86	463.568433	115.76771	6.5	0.63	5.9
Netherlands	131	17531.96965	151.8378358	4.4	1.83	2.2
Austria	129	17926.57907	88.54920659	4.2	2.76	2.3
Poland	65	15296	77.34893782	9.7	0.74	2.1
Portugal	78	11878.39663	59.63844227	12.9	1.59	3.2
Romania	47	2557	76.30266434	7.4	0.47	2.2
Slovenia	84	817.989956	139.6680498	8.2	2.11	1.7
Slovakia	73	3658.300079	166.3042123	13.7	0.63	2.4
Finland	115	-5756.94673	62.21678088	7.8	3.88	2.7
Sweden	127	2759.409193	67.83928528	7.8	3.4	3.4
UnitedKingdom	109	36243.79783	48.01831782	8	1.76	3.1
