estado	juridica	cnae1	bai.at	bai.fp	ac.at	t.at	v.fp	ac.pc	t.pc	fm.v	pe.pt	cf.pt	fm.at	v.at	v.ac	lnat
1	2	1	.6377622	.694387136	.01535949	.0060261	.1537152	.2381076	.09341849	-.3481154	17.4012679	-22.4683	-.04914701	.141180232	9.191728	8.773241
1	1	1	.4567464	.51592354	.08090553	.2247293	.3423137	1.34792	3.744085	.06890956	-.36506823	.9249177	.02088303	.303049822	3.745725	8.729917
1	1	5	.02660187	.589061609	.7108541	.001979436	30.91024	1.181392	.003289691	.07819005	.95484026	.01854856	.1091454	1.395898309	1.963692	8.078268
1	1	2	.7653125	.698919263	.1285046	.9548736	.09512933	2.131205	15.83625	.6547999	-.26862873	1.063013	.06820792	.104166054	.8106016	8.784679
1	1	0	.6047206	.178759133	.4730273	.589524	.1851306	3.085278	3.845117	.5104945	-4.89131116	4.986961	.3197097	.626274578	1.323971	5.87438
1	2	4	.1430147	.261790898	.1951233	.0129154	.04736164	22.13581	1.465191	7.200781	20.92450999	-7.678052	.1863085	.025873368	.1326001	6.33474
1	2	5	.09756901	.205370309	.02294496	.002927179	.0645283	.9651995	.1231343	-.02698553	-7.37138756	2.599681	-.0008272856	.030656633	1.336095	6.314289
1	1	4	.02753869	.034118987	.9330973	.7167584	.8927873	4.843227	3.720323	1.027526	.19286308	.04599766	.7404371	.720601576	.7722684	7.888931
1	2	1	.8933772	.281321922	1.364184	.007346743	.0465692	12.27168	.06608852	8.472809	-1.83583615	2.346703	1.253019	.14788704	.108407	6.042963
1	2	5	.4326797	.328349511	.2352418	.05167035	.03058772	-83.27872	-18.29199	5.906376	-3.47999754	1.561133	.2380666	.040306702	.1713416	6.65095
1	1	5	.5583	.600451169	.3651873	.2196469	-.2196696	6.611799	3.976757	-1.517533	-.23835172	1.53099	.3099546	-.204248991	-.5592992	5.652851
1	1	5	.08475847	.294165407	.03943646	.01102001	.01379866	5.028523	1.405156	7.946482	-12.94188939	6.263706	.03159391	.003975835	.1008162	8.707572
1	1	2	.1376068	.283727242	.01135243	.0179898	.03981534	.12759	.2021875	-4.01979	-2.77616998	1.482377	-.07762341	.019310316	1.700986	7.095355
