Paises	Continente	PIB	CompEmp	Poblacion	Inflacion	MortInf	EmpNegoc
Argentina	SA	262331	602	39503466	14	16	31
Armenia		AS	9177	1273	3000874	4	24	18
Austria		E	377028	2945	8315427	4	4	28
Belarus		E	44771	363	9701870	12	13	48
Belgium		E	448560	8027	10625701	2	5	4
Bolivia		SA	13120	870	9517537	7	57	50
Bosnia-Herz	E	15144	2514	3772964	6	14	54
Botswana	AF	11781	117	1881432	8	40	108
Brazil		SA	1314170	4382	191601284	4	22	152
Bulgaria	E	39549	2086	7642177	8	12	32
Cape_Verde	AF	1434	143	530269	4	32	52
Chile		SA	163915	2	16594596	5	9	27
China		AS	3280053	25703	1319982596	5	22	35
Colombia	SA	171979	4523	46117464	4	20	42
Costa_Rica	CA	25225	650	4462193	8	11	77
Croatia		E	51277	1788	4438310	4	6	22
Czech_Republic	E	168142	1300	10334160	0	4	17
Denmark		E	308093	987	5460017	1	4	6
Dominican_Republic	CA	36686	3414	9752270	6	38	22
Ecuador		SA	44184	3080	13339580	5	22	65
Egypt		AF	128095	5865	75466539	11	36	9
El_Salvador	CA	20215	3695	6853143	4	24	26
Estonia		E	21279	426	1341673	10	6	7
Finland		E	246020	772	5288720	3	4	14
France		E	2562288	13854	61707073	2	4	7
Gabon		AF	10654	7	1330182	-3	91	58
Gambia		AF	643	64	1706767	4	109	32
Georgia		E	10176	705	4395770	10	30	11
Germany		E	3297233	7000	82268358	2	4	18
Greece		E	360031	1543	11193367	3	4	38
Honduras	CA	12279	2675	7091481	7	24	21
Hungary		E	138182	363	10055580	5	7	16
Iceland		E	19510	41	310997	6	2	5
India		AS	1170968	27000	1123318991	4	72	33
Indonesia	AS	432817	6143	225630065	12	31	105
Iran		AS	270937	1115	71021039	14	33	28
Ireland		E	254970	580	4366193	1	4	13
Israel		AS	161822	1264	7172300	0	5	34
Italy		E	2107481	3165	59374701	3	4	13
Jamaica		CA	10739	2021	2677170	9	31	8
Japan		AS	4376705	1577	127770750	-1	4	23
Jordan		AS	15832	2934	5718855	6	24	14
Kazakhstan	AS	103840	223	15481262	15	32	21
Kenya		AF	29509	1300	37530726	13	121	44
Korea		AF	969795	1128	48530416	1	5	17
Kyrgyz		AS	3505	715	5242827	8	38	21
Latvia		E	27154	552	2276100	13	9	16
Lebanon		AS	24001	5769	4097076	3	29	46
Lithuania	E	38328	994	3375619	9	8	26
Luxembourg	E	47942	1565	479994	1	3	26
Macedonia	E	7590	267	2037032	4	17	15
Malaysia	AS	180714	1700	26549518	3	11	24
Mauritius	AF	6363	215	1262722	7	15	7
Mexico		CA	893364	25052	105280515	3	35	27
Moldova		E	4396	1498	3792142	16	18	23
Mongolia	AS	3894	194	2612295	12	43	13
Morocco		AF	73275	5700	30860595	2	34	12
Namibia		AF	6740	17	2073624	1	68	99
Netherlands	E	754203	3004	16381138	1	5	10
Nicaragua	CA	5676	990	5604596	8	35	39
Norway		E	381951	613	4709153	1	4	7
Panama		CA	19740	173	3340605	4	23	18
Papua-NewGuinea	OC	6261	13	6324097	2	65	56
Paraguay	SA	12004	450	6120496	9	29	35
Peru		SA	109088	2100	27898182	3	20	72
Philippines	AF	144129	16860	87892094	3	28	58
Poland		E	420321	10671	38060823	3	7	31
Portugal	E	220241	3750	10608336	2	4	7
Romania		E	165980	8533	21546874	12	15	14
Russia		AS	1291011	4100	141636177	14	14	30
Senegal		AF	11151	874	12411094	5	114	58
Seychelles	OC	728	4910	85032	7	13	38
Slovak_Rep	E	74932	15	5396198	1	8	25
Slovenia	E	45451	300	2018122	4	4	60
South_Africa	AF	277581	424	47587543	8	59	31
Spain		E	1429226	10633	44878946	3	4	47
Sri_Lanka	AS	32354	2700	19944739	14	20	39
Swaziland	AF	2942	99	1144872	7	91	61
Sweden		E	444443	336	9148093	3	3	15
Switzerland	E	415516	2077	7550077	1	5	20
Thailand	AS	245818	1635	63832135	3	7	33
Tonga		AF	231	77	100599	0	23	32
Tunisia		AF	35020	1669	10248173	2	21	11
Turkey		E	657091	1200	73887733	8	23	6
Ukraine		E	140484	1170	46382836	22	24	27
United_Kingdom	E	2727806	8124	61034361	3	6	13
United_States	NAm	13811200	2962	301621000	3	8	6
Uruguay		SA	23087	97	3318592	9	14	44

Vanuatu		AS	452	11	225898	-4	34	39
Venezuela	SA	228071	136	27467021	14	19	141
Vietnam		AS	71216	5500	85140414	8	15	50
