salario edad tipotrab numper
35  21.5 manual		165
75  21.5 manual		168
125 21.5 manual		17
35  30   manual		644
75  30   manual		672
125 30   manual		84
35  50   manual		1800
75  50   manual		1763
125 50   manual		187
35  21.5 intelectual    170
75  21.5 intelectual    234
125 21.5 intelectual    21
35  30   intelectual    378
75  30   intelectual    757
125 30   intelectual    757
35  50   intelectual    332
75  50   intelectual    664
125 50   intelectual    2234
      
      
      
      
      
      
