"PROVINCIA" "POBLACION" "URBAN" "VEGROW" "BIRTH" "FECUND" "DEATH" "VEGROWR" "DOMMIG" "FORMIG" "MIGBAL" "MIGRATE" "X2539POP" "X2539ADU" "HOUSEPR" "ACTIRATE" "UNEMPR" "CHILDEP" "SOCWELF" "RESTLEV" "TOURLEV" "OVERNPR" "RDBPC"
"1" "A Coruna" 1108002 43.7 -3801 6.8 26.7 10.3 -3.4 25922 5422 3331 3.01 0.231976949473 0.310589226926 764 50.1 11.9 17.3 6 2841 1333 0.880960422008 85.057694172404
"2" "Alava" 288793 82.6 50 8.1 30 7.9 0.2 5568 1676 1990 6.95 0.256673661863 0.343638242073 1676 58.1 7.7 17.1 9 643 379 0.151212401574 123.54310094056
"3" "Albacete" 367283 64.2 597 10.1 40.6 8.4 1.6 6346 3222 2916 8.03 0.243567640166 0.351177679418 598 50.7 5.8 25.8 5 629 287 0.421754693416 82.604479782798
"4" "Alicante" 1490265 78.2 1491 9.5 36.9 8.5 1 43090 29230 37304 25.81 0.24683071977 0.350800375641 851 56 11.1 22.8 6 4450 4853 7.825232912242 88.12178803452
"5" "Almeria" 533168 55.5 1998 11.8 44.6 7.9 3.9 13393 10151 8808 17 0.260983621218 0.394411485625 828 52.8 8.7 26.8 5 1294 1579 1.645107128712 92.591874333366
"6" "Asturias" 1075329 64.8 -6102 6.1 24 11.7 -5.7 19619 4162 1977 1.84 0.22562319026 0.29233120721 908 44.5 10.4 15.3 5 3033 1322 1.598002549738 92.989430815476
"7" "Avila" 163885 29 -805 7.1 32.5 12 -4.9 3024 358 -385 -2.33 0.207749538062 0.2744148833 730 45.1 7.5 19.1 3 377 278 0.499938058952 93.02821681373
"8" "Badajoz" 664251 46.9 10 9.9 40.3 9.9 0 10109 1245 202 0.31 0.233122913746 0.340452292123 512 51.2 19 26.3 4 1242 390 0.75165581975 69.911761853971
"9" "Barcelona" 4804606 85.2 2211 9.6 37 9.2 0.5 145750 21223 11261 2.38 0.254184052317 0.346432420169 1584 56.6 9.8 19.3 10 11930 8599 6.606920869481 111.228546494715
"10" "Burgos" 349810 65.9 -868 7.6 31.9 10.1 -2.5 6711 810 -525 -1.51 0.232043882224 0.307291765501 1185 53.7 7 18.2 6 864 500 0.67574038064 109.57044506933
